"Raw","Grade.Prelim","Teach.Period","Unit","MARK","Grade","Median","Round.Total.nozero","Category","WAM"
68,"","1 2024","AGRI4407",68,"CR",69,68,70,73.75
0,"","1 2024","AGRI4407",0,"N",69,NA,5,NA
61,"","1 2024","AGRI4407",61,"CR",69,61,65,67.25
80,"","1 2024","AGRI4407",80,"HD",69,80,85,75.25
64,"","1 2024","AGRI4407",64,"CR",69,64,65,70.333
75,"","1 2024","AGRI4407",75,"D",69,75,80,69.75
70,"","1 2024","AGRI4407",70,"D",69,70,75,78.583
80,"","1 2024","AGRI4407",80,"HD",69,80,85,74.75
81,"","1 2024","AGRI4407",81,"HD",69,81,85,70.5
71,"","1 2024","AGRI4407",71,"D",69,71,75,67.417
68,"","1 2024","AGRI4407",68,"CR",69,68,70,74.625
57,"","1 2024","AGRI4407",57,"P",69,57,60,58.375
78.48537,"","1 2024","AGRI4409",78,"D",74,78,80,NA
72.65296,"","1 2024","AGRI4409",73,"D",74,73,75,NA
76.13162,"","1 2024","AGRI4409",76,"D",74,76,80,NA
83.62766,"","1 2024","AGRI4409",84,"HD",74,84,85,NA
77.13715,"","1 2024","AGRI4409",77,"D",74,77,80,NA
74.33992,"","1 2024","AGRI4409",74,"D",74,74,75,NA
75.38142,"","1 2024","AGRI4409",75,"D",74,75,80,NA
0,"","1 2024","AGRI4409",0,"N",74,NA,5,NA
75.20592,"","1 2024","AGRI4409",75,"D",74,75,80,NA
0,"","1 2024","AGRI4409",0,"N",74,NA,5,NA
70.80355,"","1 2024","AGRI4409",71,"D",74,71,75,NA
70.48379,"","1 2024","AGRI4409",70,"D",74,70,75,NA
77.44664,"","1 2024","AGRI4409",77,"D",74,77,80,NA
73.54466,"","1 2024","AGRI4409",74,"D",74,74,75,NA
64.23636,"","1 2024","AGRI4409",64,"CR",74,64,65,NA
84.19011,"","1 2024","AGRI4409",84,"HD",74,84,85,NA
70.4581,"","1 2024","AGRI4409",70,"D",74,70,75,NA
81.07865,"","1 2024","AGRI4409",81,"HD",74,81,85,NA
77.21501,"","1 2024","AGRI4409",77,"D",74,77,80,NA
72.18181,"","1 2024","AGRI4409",72,"D",74,72,75,NA
70.94901,"","1 2024","AGRI4409",71,"D",74,71,75,NA
79.06403,"","1 2024","AGRI4409",79,"D",74,79,80,NA
83.91541,"","1 2024","AGRI4409",84,"HD",74,84,85,NA
85.70434,"","1 2024","AGRI4409",86,"HD",74,86,90,NA
3.26086,"","1 2024","AGRI4409",3,"N",74,3,5,NA
71.88181,"","1 2024","AGRI4409",72,"D",74,72,75,NA
73.61106,"","1 2024","AGRI4409",74,"D",74,74,75,NA
76.02371,"","1 2024","AGRI4409",76,"D",74,76,80,NA
78.61541,"","1 2024","AGRI4409",79,"D",74,79,80,NA
67.32964,"","1 2024","AGRI4409",67,"CR",74,67,70,NA
66.99881,"","1 2024","AGRI4409",67,"CR",74,67,70,NA
81.39367,"","1 2024","AGRI4409",81,"HD",74,81,85,NA
72.97312,"","1 2024","AGRI4409",73,"D",74,73,75,NA
83.83636,"","1 2024","AGRI4409",84,"HD",74,84,85,NA
75.81225,"","1 2024","AGRI4409",76,"D",74,76,80,NA
72.70869,"","1 2024","AGRI4409",73,"D",74,73,75,NA
76.50158,"","1 2024","AGRI4409",77,"D",74,77,80,NA
75.4328,"","1 2024","AGRI4409",75,"D",74,75,80,NA
68.34545,"","1 2024","AGRI4409",68,"CR",74,68,70,NA
71.58379,"","1 2024","AGRI4409",72,"D",74,72,75,NA
68.6328,"","1 2024","AGRI4409",69,"CR",74,69,70,NA
73.02608,"","1 2024","AGRI4409",73,"D",74,73,75,NA
76.70909,"","1 2024","AGRI4409",77,"D",74,77,80,NA
69.21739,"","1 2024","AGRI4409",69,"CR",74,69,70,NA
79.07075,"","1 2024","AGRI4409",79,"D",74,79,80,NA
74.77193,"","1 2024","AGRI4409",75,"D",74,75,80,NA
74.41541,"","1 2024","AGRI4409",74,"D",74,74,75,NA
71.27272,"","1 2024","AGRI4409",71,"D",74,71,75,NA
0,"","1 2024","AGRI4409",0,"N",74,NA,5,NA
72.19881,"","1 2024","AGRI4409",72,"D",74,72,75,NA
70.82529,"","1 2024","AGRI4409",71,"D",74,71,75,NA
78.86877,"","1 2024","AGRI4409",79,"D",74,79,80,NA
75.05296,"","1 2024","AGRI4409",75,"D",74,75,80,NA
76.96996,"","1 2024","AGRI4409",77,"D",74,77,80,NA
71.08972,"","1 2024","AGRI4409",71,"D",74,71,75,NA
87.64584,"","1 2024","AGRI4409",88,"HD",74,88,90,NA
79.91383,"","1 2024","AGRI4409",80,"HD",74,80,85,NA
74.0249,"","1 2024","AGRI4409",74,"D",74,74,75,NA
63.91106,"","1 2024","AGRI4409",64,"CR",74,64,65,NA
70.57865,"","1 2024","AGRI4409",71,"D",74,71,75,NA
86.73050556,"","1 2024","AGRI4410",87,"HD",74,87,90,72
69.26097778,"","1 2024","AGRI4410",69,"CR",74,69,70,70.875
66.11793889,"","1 2024","AGRI4410",66,"CR",74,66,70,75.286
83.35958889,"","1 2024","AGRI4410",83,"HD",74,83,85,74.75
58.60999667,"","1 2024","AGRI4410",59,"P",74,59,60,59.125
43.22944111,"","1 2024","AGRI4410",43,"N",74,43,45,45.5
45.98607778,"","1 2024","AGRI4410",46,"N+",74,46,50,57.5
96.77212222,"","1 2024","AGRI4410",97,"HD",74,97,100,87.25
46.51971889,"","1 2024","AGRI4410",47,"N+",74,47,50,60.5
74.09996667,"","1 2024","AGRI4410",74,"D",74,74,75,68.75
65.07637556,"","1 2024","AGRI4410",65,"CR",74,65,70,62.5
71.01097778,"","1 2024","AGRI4410",71,"D",74,71,75,71.625
71.87349444,"","1 2024","AGRI4410",72,"D",74,72,75,71.143
77.65405,"","1 2024","AGRI4410",78,"D",74,78,80,75
60.49439444,"","1 2024","AGRI4410",60,"CR",74,60,65,50
39.50133889,"","1 2024","AGRI4410",40,"N",74,40,45,60
42.25302222,"","1 2024","AGRI4410",42,"N",74,42,45,60.75
66.21106111,"","1 2024","AGRI4410",66,"CR",74,66,70,73.25
69.38777778,"","1 2024","AGRI4410",69,"CR",74,69,70,59.25
65.53883889,"","1 2024","AGRI4410",66,"CR",74,66,70,70.25
73.09468889,"","1 2024","AGRI4410",73,"D",74,73,75,66.25
65.67766111,"","1 2024","AGRI4410",66,"CR",74,66,70,67.25
73.54295556,"","1 2024","AGRI4410",74,"D",74,74,75,78.25
85.44715556,"","1 2024","AGRI4410",85,"HD",74,85,90,68
93.69710556,"","1 2024","AGRI4410",94,"HD",74,94,95,79.4
79.99607778,"","1 2024","AGRI4410",80,"HD",74,80,85,68
73.75415667,"","1 2024","AGRI4410",74,"D",74,74,75,NA
68.68438889,"","1 2024","AGRI4410",69,"CR",74,69,70,65
78.27588889,"","1 2024","AGRI4410",78,"D",74,78,80,66.625
83.20383333,"","1 2024","AGRI4410",83,"HD",74,83,85,67
74.16216667,"","1 2024","AGRI4410",74,"D",74,74,75,67.375
76.80594444,"","1 2024","AGRI4410",77,"D",74,77,80,75.25
87.58360778,"","1 2024","AGRI4410",88,"HD",74,88,90,NA
53.85248667,"","1 2024","AGRI4410",54,"P",74,54,55,67
79.58471056,"","1 2024","AGRI4410",80,"HD",74,80,85,60
74.04856111,"","1 2024","AGRI4410",74,"D",74,74,75,69.375
86.74856111,"","1 2024","AGRI4410",87,"HD",74,87,90,73.5
86.26705556,"","1 2024","AGRI4410",86,"HD",74,86,90,73.375
77.2458,"","1 2024","AGRI4410",77,"D",74,77,80,75
72.80968889,"","1 2024","AGRI4410",73,"D",74,73,75,65.75
55.40441111,"","1 2024","AGRI4410",55,"P",74,55,60,62.25
85.69856111,"","1 2024","AGRI4410",86,"HD",74,86,90,65
63.35416333,"","1 2024","AGRI4410",63,"CR",74,63,65,66.875
45.59887722,"","1 2024","AGRI4410",46,"N+",74,46,50,74
66.28328333,"","1 2024","AGRI4410",66,"CR",74,66,70,52
81.90133889,"","1 2024","AGRI4410",82,"HD",74,82,85,70
81.04710556,"","1 2024","AGRI4410",81,"HD",74,81,85,67.625
87.79431111,"","1 2024","AGRI4410",88,"HD",74,88,90,77.25
84.61245,"","1 2024","AGRI4410",85,"HD",74,85,90,69
75.17527444,"","1 2024","AGRI4410",75,"D",74,75,80,63
89.01222056,"","1 2024","AGRI4410",89,"HD",74,89,90,81.25
58.7,"","1 2024","AGRI5503",59,"P",61,59,60,59.125
0,"","1 2024","AGRI5503",0,"N",61,NA,5,NA
34.9,"","1 2024","AGRI5503",35,"N",61,35,40,45.5
38.4,"","1 2024","AGRI5503",38,"N",61,38,40,60.5
81.2,"","1 2024","AGRI5503",81,"HD",61,81,85,70.625
48.5,"","1 2024","AGRI5503",49,"N+",61,49,50,60.75
68.8,"","1 2024","AGRI5503",69,"CR",61,69,70,73.25
46.8,"","1 2024","AGRI5503",47,"N+",61,47,50,59.25
54.9,"","1 2024","AGRI5503",55,"P",61,55,60,66.25
61.3,"","1 2024","AGRI5503",61,"CR",61,61,65,67.25
78,"","1 2024","AGRI5503",78,"D",61,78,80,69.167
80.9,"","1 2024","AGRI5503",81,"HD",61,81,85,66.625
36,"","1 2024","AGRI5503",36,"N",61,36,40,67
35.8,"","1 2024","AGRI5503",36,"N",61,36,40,67.375
52.6,"","1 2024","AGRI5503",53,"P",61,53,55,60
45.1,"","1 2024","AGRI5503",45,"N+",61,45,50,69.375
61.1,"","1 2024","AGRI5503",61,"CR",61,61,65,69.75
62.4,"","1 2024","AGRI5503",62,"CR",61,62,65,65.75
70.6,"","1 2024","AGRI5503",71,"D",61,71,75,65
75.1,"","1 2024","AGRI5503",75,"D",61,75,80,66.875
74.6,"","1 2024","AGRI5503",75,"D",61,75,80,70
83.7,"","1 2024","AGRI5503",84,"HD",61,84,85,67.625
64.2,"","1 2024","AGRI5503",64,"CR",61,64,65,63
82.05,"","1 2024","ECON4002",82,"HD",73,82,85,NA
72.9,"","1 2024","ECON4002",73,"D",73,73,75,NA
