"","Unit","Mark","Grade","Median","Round.Total..no.0.","Category","WAM"
"1","AGRI1001",65,"CR",63,65,70,55.083
"2","AGRI1001",60,"CR",63,60,65,71.75
"3","AGRI1001",66,"CR",63,66,70,NA
"4","AGRI1001",71,"D",63,71,75,54.619
"5","AGRI1001",74,"D",63,74,75,NA
"6","AGRI1001",67,"CR",63,67,70,73.5
"7","AGRI1001",58,"P",63,58,60,NA
"8","AGRI1001",76,"D",63,76,80,NA
"9","AGRI1001",24,"N",63,24,25,NA
"10","AGRI1001",52,"P",63,52,55,NA
"11","AGRI1001",61,"CR",63,61,65,NA
"12","AGRI1001",60,"CR",63,60,65,NA
"13","AGRI1001",64,"CR",63,64,65,69.25
"14","AGRI1001",72,"D",63,72,75,NA
"15","AGRI1001",50,"P",63,50,55,NA
"16","AGRI1001",62,"CR",63,62,65,NA
"17","AGRI1001",65,"CR",63,65,70,NA
"18","AGRI1001",63,"CR",63,63,65,NA
"19","AGRI1001",60,"CR",63,60,65,58.143
"20","AGRI1001",52,"P",63,52,55,NA
"21","AGRI1001",74,"D",63,74,75,75.125
"22","AGRI1001",72,"D",63,72,75,71.267
"23","AGRI1001",45,"N+",63,45,50,NA
"24","AGRI1001",76,"D",63,76,80,NA
"25","AGRI1001",60,"CR",63,60,65,60.048
"26","AGRI1001",86,"HD",63,86,90,83.833
"27","AGRI1001",52,"P",63,52,55,NA
"28","AGRI1001",23,"N",63,23,25,NA
"29","AGRI1001",84,"HD",63,84,85,79.25
"30","AGRI1001",63,"CR",63,63,65,NA
"31","AGRI1001",76,"D",63,76,80,NA
"32","AGRI1001",72,"D",63,72,75,NA
"33","AGRI1001",63,"CR",63,63,65,65.75
"34","AGRI1001",32,"N",63,32,35,61.75
"35","AGRI1001",52,"P",63,52,55,NA
"36","AGRI1001",70,"D",63,70,75,73.5
"37","AGRI1001",60,"CR",63,60,65,NA
"38","AGRI1001",50,"P",63,50,55,NA
"39","AGRI1001",51,"P",63,51,55,NA
"40","AGRI1001",60,"CR",63,60,65,50.25
"41","AGRI1001",60,"CR",63,60,65,69.167
"42","AGRI1001",85,"HD",63,85,90,76.813
"43","AGRI1001",45,"N+",63,45,50,NA
"44","AGRI1001",72,"D",63,72,75,NA
"45","AGRI1001",71,"D",63,71,75,66.813
"46","AGRI1001",59,"P",63,59,60,NA
"47","AGRI1001",61,"CR",63,61,65,NA
"48","AGRI1001",38,"N",63,38,40,60.25
"49","AGRI1001",65,"CR",63,65,70,NA
"50","AGRI1001",82,"HD",63,82,85,NA
"51","AGRI1001",80,"HD",63,80,85,80.368
"52","AGRI1001",67,"CR",63,67,70,NA
"53","AGRI1001",64,"CR",63,64,65,NA
"54","AGRI1001",56,"P",63,56,60,64.5
"55","AGRI1001",38,"N",63,38,40,NA
"56","AGRI1001",67,"CR",63,67,70,42.222
"57","AGRI1001",68,"CR",63,68,70,NA
"58","AGRI1001",52,"P",63,52,55,63
"59","AGRI1001",55,"P",63,55,60,NA
"60","AGRI1001",68,"CR",63,68,70,77.75
"61","AGRI1001",53,"P",63,53,55,NA
"62","AGRI1001",81,"HD",63,81,85,NA
"63","AGRI1001",14,"N",63,14,15,NA
"64","AGRI1001",75,"D",63,75,80,NA
"65","AGRI1001",78,"D",63,78,80,76.25
"66","AGRI1001",61,"CR",63,61,65,66.375
"67","AGRI1001",69,"CR",63,69,70,NA
"68","AGRI1001",69,"CR",63,69,70,NA
