"E","N"
384555.414298103,6461731.06606626
384574.593535644,6461698.02203106
384581.323016337,6461679.47253702
384584.409924754,6461657.11142242
384598.646473607,6461609.93171903
384607.807390965,6461568.57221553
384618.354837931,6461463.03407365
384618.003348912,6461427.21929423
384615.30658621,6461414.8823536
384601.107273303,6461391.99434378
384578.947126396,6461379.43771829
384547.910297435,6461374.65346264
384537.883897988,6461375.53877727
384480.668848814,6461396.06602113
384466.790274927,6461411.54288721
384466.993377621,6461460.43737086
384464.311101998,6461505.41898716
384468.237562257,6461534.40009008
384467.936995033,6461627.85744117
384463.479434527,6461637.56316129
384454.066981343,6461642.55743644
384431.806172886,6461638.86865264
384420.937211987,6461638.9674887
384398.907328951,6461673.41884889
384390.197684758,6461683.07833342
384377.80972113,6461692.25107056
384350.269019812,6461704.13402447
384333.595938661,6461716.03013246
384317.561095402,6461730.0384775
384295.762701638,6461743.98355465
384276.236720924,6461749.08481004
384227.919012882,6461751.41966339
384198.429527704,6461743.546295
384162.380120493,6461739.03572421
384151.536923012,6461745.12196868
384147.835281012,6461754.94788551
384151.261781802,6461769.39827382
384164.096174238,6461779.29984259
384187.763542378,6461792.42975722
384211.374221983,6461810.43580938
384259.036931727,6461865.96529032
384268.905656922,6461887.47454752
384306.348863438,6461952.53419665
384356.721534156,6462027.60792744
384398.656255396,6462080.07811861
384430.692783587,6462113.47924547
384455.788930251,6462125.6259482
384480.955288971,6462131.5642585
384531.336917444,6462139.11753023
384542.208813296,6462138.79685421
384560.962960303,6462135.01842361
384579.752517291,6462128.24461551
384602.315804419,6462113.53259605
384606.738291637,6462106.9300403
384611.349797312,6462083.58944169
384606.317691087,6462018.56532966
384593.749466592,6461976.73692113
384555.728353614,6461895.59678682
384545.12735242,6461880.39866315
384522.677447706,6461826.48552085
384519.351417291,6461802.9435219
384520.922131695,6461789.43667465
384534.243923431,6461756.2146672
384555.414298103,6461731.06606626
