"gen","yield"
"a",236.5
"f",210.4
"c",291.1
"h",223.9
"e",295.6
"b",290.5
"g",286.1
"d",266.2
"a",291.6
"f",247.3
"c",321.4
"h",249.9
"e",286.5
"b",246.6
"g",301
"d",333
"a",322
"f",282.4
"c",399.3
"h",330.8
"e",303.9
"b",343.3
"g",285.2
"d",273.5
"a",333.4
"f",295.9
"c",362.6
"h",349.8
"e",395.3
"b",400.6
"g",364.9
"d",361.8
"b",265.9
"g",236.7
"d",295.8
"a",238.3
"f",265
"c",320.9
"h",272.9
"e",298.7
"b",307.9
"g",301.3
"d",244.2
"a",263.1
"f",257.5
"c",318.2
"h",331.7
"e",324
"b",301.7
"g",326.8
"d",325.5
"a",280.2
"f",315
"c",305.9
"h",269.2
"e",376.4
"b",314.2
"g",376
"d",428.4
"a",405.7
"f",362.9
"c",379.9
"h",348.6
"e",371.3
"c",265.6
"h",205
"e",246.7
"b",277.4
"g",232.3
"d",286
"a",286.1
"f",229.3
"c",221.2
"h",170.7
"e",231.8
"b",235.5
"g",284.4
"d",239.7
"a",302.2
"f",278.8
"c",301.2
"h",260.3
"e",328
"b",324.1
"g",305.9
"d",308.7
"a",248
"f",272.7
"c",324.2
"h",295.6
"e",253.5
"b",286.7
"g",372.6
"d",322.3
"a",362.9
"f",326.3
"d",255.9
"a",222.6
"f",218.7
"c",258.2
"h",273.3
"e",268.2
"b",301.1
"g",285.7
"d",212
"a",296.7
"f",237.7
"c",308.8
"h",225
"e",290.4
"b",297.5
"g",334.4
"d",282.6
"a",374.3
"f",300.4
"c",377.9
"h",303
"e",351.5
"b",344.7
"g",317.7
"d",362.4
"a",331.8
"f",298.7
"c",366.4
"h",325.6
"e",377
"b",354.7
"g",321.8
"e",230.1
"b",249.3
"g",312.2
"d",263.4
"a",263.4
"f",273.4
"c",314.9
"h",198
"e",227.9
"b",225.7
"g",265.4
"d",203
"a",236.9
"f",228
"c",293.9
"h",237.6
"e",336.6
"b",330.2
"g",323.5
"d",341
"a",327
"f",308.1
"c",324.9
"h",298.7
"e",334.8
"b",316.6
"g",258.2
"d",299.8
"a",338.9
"f",321
"c",317.2
"h",266.8
